X,Y,t
3.913159374463045,0.288691780145214,1.29
3.956921313784689,0.2944065101413619,1.3
4.020408527997545,0.29842961063446516,1.31
4.006371857433732,0.2983418783693628,1.32
4.07923946178556,0.3034003432036492,1.33
4.137917926975224,0.30607941899350616,1.34
4.191554466995877,0.3085029977316674,1.35
4.2399548335631785,0.3125366888976322,1.36
4.3391465525378115,0.31785966605381494,1.37
4.447029785697523,0.3238281313871497,1.38
4.512612728347572,0.3329063730617056,1.39
4.633787157883975,0.33952682463612516,1.4
4.697104044839856,0.3434648818850153,1.41
4.740827854034483,0.349487083340766,1.42
4.7438203415486555,0.35587081936496495,1.43
4.776826197290559,0.36475570471177254,1.44
4.898317337476827,0.37402495062629754,1.45
4.925002272804166,0.37885834815574426,1.46
4.936388922172972,0.385392559362969,1.47
4.949112709538385,0.3913622889223692,1.48
5.049145181028339,0.404089630242424,1.49
5.116601838179508,0.4098278441321603,1.5
5.240504157259285,0.4208290505299368,1.51
5.3407627035450895,0.4313105803704052,1.52
5.37128716532875,0.4371650555901354,1.53
5.4389810809078245,0.4446818541225203,1.54
5.500260098218121,0.4538249614281129,1.55
5.629625468009724,0.46194743026035195,1.56
5.735860767698348,0.47528329484674875,1.57
5.829225963078777,0.493304172877192,1.58
5.928940565333714,0.5070124409366649,1.59
6.044321277085813,0.521243188287866,1.6
6.196362214988205,0.5355385389038851,1.61
6.190631971201709,0.5565217446836589,1.62
6.200948839701551,0.5765906094491335,1.63
6.143739853329515,0.5989617442750753,1.64
6.230654609727915,0.6202202827542912,1.65
6.336667998236562,0.6423584842993663,1.66
6.373920675578461,0.6671928409148143,1.67
6.424730767275719,0.6884869959258009,1.68
6.495174934032322,0.7078004994487809,1.69
6.5381746517169,0.7341384207946854,1.7
6.484017322288422,0.7577009177702698,1.71
6.566190643274874,0.7953330344524079,1.72
6.59503395732218,0.8287012366113846,1.73
6.665951963053402,0.8581842935971616,1.74
6.676336772582231,0.8877053253888677,1.75
6.805121582520836,0.9077569097399946,1.76
6.792896411160553,0.9492865501296359,1.77
6.823586676546007,0.9536497640430455,1.78
6.852938269985539,0.9895644354888261,1.79
6.871064146597628,1.0301991464554163,1.8
6.874753386003315,1.0926056785565452,1.81
6.972225489858873,1.125936777192448,1.82
6.974972396204816,1.1622761621716675,1.83
6.956199059024127,1.2014495317191072,1.84
7.049424970576028,1.2480636363334896,1.85
7.179435496215737,1.3128742683232448,1.86
7.13992868542354,1.3793828337852485,1.87
7.07970369398426,1.4596437953809782,1.88
7.043085326000021,1.5271697356133151,1.89
7.006580927360242,1.5994132917373796,1.9
6.993187390082855,1.6488927379965543,1.91
7.034897602336506,1.7031932435259993,1.92
7.076609162839541,1.7646631422295869,1.93
6.982877322818639,1.8295770002872531,1.94
7.036628191732426,1.9171291256078207,1.95
6.982527357827932,1.9891263741298533,1.96
6.934379484599997,2.06249990621704,1.97
7.011070483190458,2.1366935398168727,1.98
6.88908926030136,2.206891500490208,1.99
6.82304892019424,2.278986551955272,2.0
6.846417394976075,2.3670276626004716,2.01
6.777835881882899,2.407162125972315,2.02
6.6740805219229875,2.4959865158805994,2.03
6.492308307317016,2.621545675986975,2.04
6.366864811246429,2.741673966784462,2.05
6.3678392483759225,2.850048939042786,2.06
6.265386609704715,2.931815003733228,2.07
6.146701101474207,2.984357650624955,2.08
6.1656103228079395,3.0233516965444305,2.09
6.062673657296753,3.1504035363529415,2.1
6.0221109345072605,3.212461593528324,2.11
5.891941062630355,3.328274932856234,2.12
5.778240442663549,3.4348796359202263,2.13
5.692979361838673,3.5077511975473548,2.14
5.663475801037539,3.619854913319773,2.15
5.5724610533294445,3.7246938901581665,2.16
5.4022727585317005,3.9523835465253767,2.17
5.264360196253001,4.048324337614755,2.18
5.234170962276743,4.115378305779919,2.19
5.0751913327208715,4.16954674162771,2.2
4.937743391054446,4.255666534961473,2.21
4.8298000862212,4.376921488608311,2.22
4.676675205188613,4.454142633922544,2.23
4.5536088623337205,4.436287103586975,2.24
4.374810983931628,4.383584579339708,2.25
4.270877288383955,4.429813842248421,2.26
4.112415377997815,4.5045748790136875,2.27
3.998280639240843,4.583870021752595,2.28
3.8332685544358998,4.5908407363121135,2.29
3.675598820367145,4.570263933630535,2.3
3.5611450645418428,4.674802436147359,2.31
3.4371906492504785,4.661681033249488,2.32
3.3273135999567023,4.680616008126751,2.33
3.23339472740171,4.645258087998875,2.34
3.1652584034033477,4.712574600314755,2.35
3.0934943206618786,4.6526109638554445,2.36
3.0169510728323687,4.667200083835632,2.37
2.920783244885562,4.606490217458043,2.38
2.7851260735275907,4.654024439334619,2.39
2.7174447344688057,4.620655686946935,2.4
2.64051247524982,4.627347459530631,2.41
2.5409298592669924,4.705710143855544,2.42
2.4456158347018007,4.7213906757009365,2.43
2.3465644734086077,4.738022640863125,2.44
2.2907807260754702,4.643323180528386,2.45
2.1944647953002216,4.577390684251487,2.46
2.131108429660512,4.494563197068283,2.47
2.075609466086638,4.383927687662433,2.48
2.0022323804028272,4.308858926103841,2.49
1.937203917541147,4.25454270913696,2.5
1.920830633671474,4.127239235030149,2.51
1.8895598599835424,4.152816102949122,2.52
1.8320319850169506,4.127248710200448,2.53
1.7969576939002379,4.095055555448834,2.54
1.756552459702847,4.145508770008161,2.55
1.7334280772550081,4.1152472645571905,2.56
1.648028129108647,4.006073385164779,2.57
1.6190624691132112,3.9712532268748255,2.58
1.6094920396591461,3.926567452517229,2.59
1.5964331279820403,3.8164744215843545,2.6
1.555434743721496,3.7128866166102825,2.61
1.5384750163990848,3.668999604391741,2.62
1.4949906919482951,3.58597219109141,2.63
1.4723592747560055,3.5477159300974517,2.64
1.4264764898546405,3.421191740331091,2.65
1.4155103725276033,3.3973590474147253,2.66
1.37505373942687,3.3919093764748167,2.67
1.3299897299246224,3.356201978380056,2.68
1.2985455611636376,3.319608152794145,2.69
1.2845469494243082,3.204835566517812,2.7
1.2836157179596408,3.101088033538246,2.71
1.2517877693031687,3.0719424206886017,2.72
1.234657073400284,2.9621315363323024,2.73
1.2040771529040026,2.883370364341489,2.74
1.193516159307623,2.8274202396167754,2.75
1.1717072539088405,2.782440235928624,2.76
1.1460483263187917,2.729712302467804,2.77
1.1486407659219442,2.7109135963118214,2.78
1.1414243682220155,2.63869584967479,2.79
1.12954872980286,2.579472897273945,2.8
1.1338115266632287,2.506646973658554,2.81
1.1173978557409503,2.4297704199593184,2.82
1.11893252501907,2.405285718280064,2.83
1.0944543475653041,2.379920855353925,2.84
1.077645923386726,2.3933569920671807,2.85
1.0617089707189058,2.352483660375496,2.86
1.0641812862262827,2.2999768750521965,2.87
1.040381528482367,2.2724159273855067,2.88
1.0356077886706296,2.216077246289473,2.89
1.0135214160680728,2.18600376950598,2.9
1.0140133844101877,2.1739811420590596,2.91
1.0153103210902124,2.1493435300897548,2.92
1.0259585546141832,2.1041265634490727,2.93
1.0216860524502442,2.0760304092773447,2.94
1.0194338453691758,2.0371522999786613,2.95
1.0208917929597585,2.0234183355135342,2.96
1.0004815041247792,1.9694982124439848,2.97
0.9844569487300774,1.9548166037314088,2.98
0.9928036028137205,1.8865181373255029,2.99
0.9987144216138493,1.8552037624528106,3.0
0.9882791660559128,1.8158303013265809,3.01
0.9766775943441545,1.7562914945538233,3.02
0.9731414829602439,1.732747484132307,3.03
0.9721637542230965,1.6541910096710564,3.04
0.976167438645448,1.6377183463119205,3.05
0.9778397307448815,1.5940832771548972,3.06
0.9720547979433968,1.5673682788835328,3.07
0.9716557322419512,1.5389161801017834,3.08
0.9856764634816909,1.487988385303852,3.09
0.9810305067306438,1.4444713327187497,3.1
0.9766443367439149,1.4092607339819425,3.11
